Model,TBS 1062
Firmware Version,CF:91.1CT FV:v26.02
,
Waveform Type,ANALOG
Point Format,Y
Horizontal Units,"s"
Horizontal Scale,0.025
Horizontal Delay,0
Sample Interval,0.0001
Record Length,2500
Gating,0.0% to 100.0%
Probe Attenuation,10X
Vertical Units,"Volts"
Vertical Offset,0
Vertical Scale,0.02
Vertical Position,-384
,
,
,
Label,
TIME,CH2
-0.0704,76804.96
-0.0703,76804.72
-0.0702,76804.72
-0.0701,76805.2
-0.07,76804.64
-0.0699,76804.64
-0.0698,76804.96
-0.0697,76804.8
-0.0696,76804.88
-0.0695,76805.12
-0.0694,76804.96
-0.0693,76804.8
-0.0692,76804.8
-0.0691,76805.04
-0.069,76804.8
-0.0689,76804.8
-0.0688,76805.04
-0.0687,76804.8
-0.0686,76804.55
-0.0685,76804.64
-0.0684,76804.72
-0.0683,76804.72
-0.0682,76804.88
-0.0681,76804.8
-0.068,76805.04
-0.0679,76804.72
-0.0678,76804.4
-0.0677,76804.8
-0.0676,76804.55
-0.0675,76804.8
-0.0674,76804.8
-0.0673,76804.88
-0.0672,76804.88
-0.0671,76804.88
-0.067,76804.8
-0.0669,76804.4
-0.0668,76804.96
-0.0667,76804.96
-0.0666,76804.88
-0.0665,76804.8
-0.0664,76804.72
-0.0663,76805.04
-0.0662,76804.72
-0.0661,76804.96
-0.066,76805.12
-0.0659,76804.88
-0.0658,76804.88
-0.0657,76804.8
-0.0656,76804.8
-0.0655,76805.12
-0.0654,76804.96
-0.0653,76804.72
-0.0652,76804.72
-0.0651,76804.96
-0.065,76804.96
-0.0649,76804.96
-0.0648,76804.8
-0.0647,76805.04
-0.0646,76804.72
-0.0645,76805.12
-0.0644,76805.04
-0.0643,76804.8
-0.0642,76804.96
-0.0641,76804.72
-0.064,76804.8
-0.0639,76804.72
-0.0638,76804.8
-0.0637,76805.04
-0.0636,76804.8
-0.0635,76804.72
-0.0634,76804.72
-0.0633,76804.64
-0.0632,76804.8
-0.0631,76804.8
-0.063,76804.96
-0.0629,76804.88
-0.0628,76805.12
-0.0627,76804.8
-0.0626,76804.55
-0.0625,76804.96
-0.0624,76804.88
-0.0623,76804.96
-0.0622,76804.8
-0.0621,76804.96
-0.062,76804.8
-0.0619,76804.55
-0.0618,76805.28
-0.0617,76804.8
-0.0616,76804.48
-0.0615,76805.2
-0.0614,76804.88
-0.0613,76804.8
-0.0612,76805.12
-0.0611,76805.2
-0.061,76804.8
-0.0609,76804.88
-0.0608,76805.12
-0.0607,76805.04
-0.0606,76805.04
-0.0605,76804.8
-0.0604,76805.12
-0.0603,76805.04
-0.0602,76805.12
-0.0601,76804.88
-0.06,76804.96
-0.0599,76805.12
-0.0598,76805.04
-0.0597,76805.04
-0.0596,76804.64
-0.0595,76805.12
-0.0594,76805.12
-0.0593,76804.88
-0.0592,76805.12
-0.0591,76805.28
-0.059,76804.88
-0.0589,76804.96
-0.0588,76805.12
-0.0587,76804.88
-0.0586,76804.72
-0.0585,76804.88
-0.0584,76804.96
-0.0583,76804.88
-0.0582,76805.12
-0.0581,76804.96
-0.058,76805.28
-0.0579,76805.12
-0.0578,76804.88
-0.0577,76805.2
-0.0576,76805.04
-0.0575,76804.8
-0.0574,76804.96
-0.0573,76805.04
-0.0572,76805.2
-0.0571,76805.52
-0.057,76805.2
-0.0569,76805.04
-0.0568,76805.04
-0.0567,76805.12
-0.0566,76805.12
-0.0565,76805.2
-0.0564,76805.28
-0.0563,76805.04
-0.0562,76805.12
-0.0561,76805.36
-0.056,76805.04
-0.0559,76805.52
-0.0558,76805.04
-0.0557,76805.28
-0.0556,76805.28
-0.0555,76805.04
-0.0554,76805.28
-0.0553,76805.28
-0.0552,76805.44
-0.0551,76804.88
-0.055,76805.04
-0.0549,76805.44
-0.0548,76805.36
-0.0547,76805.2
-0.0546,76805.12
-0.0545,76804.96
-0.0544,76805.28
-0.0543,76805.2
-0.0542,76805.44
-0.0541,76804.96
-0.054,76805.44
-0.0539,76805.12
-0.0538,76805.2
-0.0537,76805.36
-0.0536,76805.04
-0.0535,76805.28
-0.0534,76805.36
-0.0533,76805.44
-0.0532,76805.52
-0.0531,76805.28
-0.053,76805.04
-0.0529,76805.6
-0.0528,76805.36
-0.0527,76805.2
-0.0526,76805.2
-0.0525,76805.44
-0.0524,76805.36
-0.0523,76805.04
-0.0522,76805.36
-0.0521,76805.6
-0.052,76805.12
-0.0519,76805.28
-0.0518,76805.36
-0.0517,76805.52
-0.0516,76805.84
-0.0515,76805.28
-0.0514,76805.6
-0.0513,76805.44
-0.0512,76805.28
-0.0511,76805.6
-0.051,76805.84
-0.0509,76805.52
-0.0508,76805.44
-0.0507,76805.28
-0.0506,76805.36
-0.0505,76805.6
-0.0504,76805.44
-0.0503,76805.68
-0.0502,76805.52
-0.0501,76805.52
-0.05,76805.44
-0.0499,76805.28
-0.0498,76805.52
-0.0497,76805.44
-0.0496,76805.28
-0.0495,76805.36
-0.0494,76805.68
-0.0493,76805.36
-0.0492,76805.52
-0.0491,76805.28
-0.049,76805.36
-0.0489,76805.6
-0.0488,76805.68
-0.0487,76805.44
-0.0486,76805.52
-0.0485,76805.44
-0.0484,76805.44
-0.0483,76805.36
-0.0482,76805.52
-0.0481,76805.44
-0.048,76805.44
-0.0479,76805.44
-0.0478,76805.6
-0.0477,76805.2
-0.0476,76805.28
-0.0475,76805.44
-0.0474,76805.36
-0.0473,76805.12
-0.0472,76805.52
-0.0471,76805.36
-0.047,76805.76
-0.0469,76805.6
-0.0468,76805.28
-0.0467,76805.44
-0.0466,76805.36
-0.0465,76805.52
-0.0464,76805.44
-0.0463,76805.44
-0.0462,76805.76
-0.0461,76805.2
-0.046,76805.6
-0.0459,76805.44
-0.0458,76805.52
-0.0457,76805.68
-0.0456,76805.84
-0.0455,76805.44
-0.0454,76805.6
-0.0453,76805.6
-0.0452,76805.44
-0.0451,76805.44
-0.045,76805.6
-0.0449,76805.52
-0.0448,76805.6
-0.0447,76805.68
-0.0446,76805.84
-0.0445,76805.52
-0.0444,76805.76
-0.0443,76805.68
-0.0442,76805.52
-0.0441,76805.92
-0.044,76805.68
-0.0439,76805.36
-0.0438,76805.44
-0.0437,76805.84
-0.0436,76805.36
-0.0435,76805.52
-0.0434,76805.92
-0.0433,76805.84
-0.0432,76805.76
-0.0431,76805.68
-0.043,76805.6
-0.0429,76806.08
-0.0428,76805.92
-0.0427,76805.76
-0.0426,76805.84
-0.0425,76805.68
-0.0424,76805.84
-0.0423,76805.92
-0.0422,76805.6
-0.0421,76806
-0.042,76805.84
-0.0419,76805.44
-0.0418,76805.44
-0.0417,76805.76
-0.0416,76805.76
-0.0415,76805.76
-0.0414,76806.24
-0.0413,76805.92
-0.0412,76805.84
-0.0411,76805.68
-0.041,76805.68
-0.0409,76805.68
-0.0408,76805.84
-0.0407,76806
-0.0406,76806.08
-0.0405,76805.76
-0.0404,76805.76
-0.0403,76806
-0.0402,76806.16
-0.0401,76805.92
-0.04,76805.84
-0.0399,76805.84
-0.0398,76805.84
-0.0397,76806.16
-0.0396,76805.84
-0.0395,76805.6
-0.0394,76806.08
-0.0393,76806.16
-0.0392,76805.84
-0.0391,76805.92
-0.039,76805.92
-0.0389,76806.24
-0.0388,76805.92
-0.0387,76805.84
-0.0386,76805.84
-0.0385,76806.24
-0.0384,76806.16
-0.0383,76806.16
-0.0382,76806.16
-0.0381,76806.4
-0.038,76806.16
-0.0379,76806.4
-0.0378,76806
-0.0377,76806.16
-0.0376,76806.32
-0.0375,76806.24
-0.0374,76806
-0.0373,76806.24
-0.0372,76806.4
-0.0371,76805.92
-0.037,76805.84
-0.0369,76806
-0.0368,76806.08
-0.0367,76806.48
-0.0366,76806.24
-0.0365,76806.08
-0.0364,76806.32
-0.0363,76806.32
-0.0362,76806.24
-0.0361,76806.48
-0.036,76806.16
-0.0359,76806.55
-0.0358,76806.4
-0.0357,76806.48
-0.0356,76806.4
-0.0355,76806.4
-0.0354,76806.48
-0.0353,76806.48
-0.0352,76806.72
-0.0351,76806.64
-0.035,76806.24
-0.0349,76806.4
-0.0348,76806.24
-0.0347,76806.8
-0.0346,76806.4
-0.0345,76806.32
-0.0344,76806.32
-0.0343,76806.48
-0.0342,76806.88
-0.0341,76806.64
-0.034,76806.48
-0.0339,76806.64
-0.0338,76806.72
-0.0337,76806.64
-0.0336,76806.4
-0.0335,76806.32
-0.0334,76806.4
-0.0333,76806.64
-0.0332,76806.32
-0.0331,76806.4
-0.033,76806.4
-0.0329,76806.48
-0.0328,76806.64
-0.0327,76806.4
-0.0326,76806.55
-0.0325,76806.32
-0.0324,76806.64
-0.0323,76806.48
-0.0322,76806.16
-0.0321,76806.72
-0.032,76806.4
-0.0319,76806.55
-0.0318,76806.48
-0.0317,76806.55
-0.0316,76806.32
-0.0315,76806.32
-0.0314,76806.16
-0.0313,76806.72
-0.0312,76806.08
-0.0311,76806.16
-0.031,76806.48
-0.0309,76806.4
-0.0308,76806.08
-0.0307,76806.4
-0.0306,76806.24
-0.0305,76806.48
-0.0304,76806.4
-0.0303,76806.32
-0.0302,76806.08
-0.0301,76806.72
-0.03,76806.4
-0.0299,76806.08
-0.0298,76806.16
-0.0297,76806.24
-0.0296,76805.92
-0.0295,76805.92
-0.0294,76806.48
-0.0293,76806.08
-0.0292,76806.16
-0.0291,76806
-0.029,76806
-0.0289,76806.32
-0.0288,76806.08
-0.0287,76806.4
-0.0286,76806
-0.0285,76805.92
-0.0284,76806.08
-0.0283,76805.84
-0.0282,76806
-0.0281,76806.16
-0.028,76806.4
-0.0279,76806.32
-0.0278,76805.92
-0.0277,76806
-0.0276,76805.76
-0.0275,76806.08
-0.0274,76806.16
-0.0273,76805.68
-0.0272,76805.84
-0.0271,76805.84
-0.027,76806.32
-0.0269,76805.84
-0.0268,76806.08
-0.0267,76805.92
-0.0266,76805.92
-0.0265,76806
-0.0264,76806.16
-0.0263,76805.68
-0.0262,76806.08
-0.0261,76806.08
-0.026,76805.76
-0.0259,76805.92
-0.0258,76806
-0.0257,76806.08
-0.0256,76805.84
-0.0255,76805.76
-0.0254,76805.76
-0.0253,76805.52
-0.0252,76805.6
-0.0251,76805.92
-0.025,76805.36
-0.0249,76805.36
-0.0248,76805.28
-0.0247,76805.68
-0.0246,76805.28
-0.0245,76805.76
-0.0244,76805.44
-0.0243,76805.76
-0.0242,76805.68
-0.0241,76805.68
-0.024,76805.76
-0.0239,76805.12
-0.0238,76805.36
-0.0237,76805.44
-0.0236,76805.44
-0.0235,76805.68
-0.0234,76805.52
-0.0233,76805.44
-0.0232,76805.36
-0.0231,76805.2
-0.023,76805.36
-0.0229,76805.52
-0.0228,76805.52
-0.0227,76805.92
-0.0226,76805.2
-0.0225,76805.6
-0.0224,76804.96
-0.0223,76805.52
-0.0222,76805.36
-0.0221,76805.52
-0.022,76805.44
-0.0219,76805.44
-0.0218,76805.36
-0.0217,76805.44
-0.0216,76805.6
-0.0215,76805.2
-0.0214,76805.52
-0.0213,76805.28
-0.0212,76805.36
-0.0211,76805.2
-0.021,76804.8
-0.0209,76805.36
-0.0208,76805.36
-0.0207,76805.36
-0.0206,76805.52
-0.0205,76805.28
-0.0204,76805.28
-0.0203,76805.2
-0.0202,76805.52
-0.0201,76805.36
-0.02,76805.36
-0.0199,76805.52
-0.0198,76805.04
-0.0197,76805.6
-0.0196,76805.2
-0.0195,76805.36
-0.0194,76805.04
-0.0193,76805.12
-0.0192,76805.04
-0.0191,76805.04
-0.019,76805.28
-0.0189,76805.52
-0.0188,76805.44
-0.0187,76805.12
-0.0186,76805.2
-0.0185,76805.44
-0.0184,76805.28
-0.0183,76804.88
-0.0182,76805.2
-0.0181,76805.12
-0.018,76804.96
-0.0179,76805.04
-0.0178,76805.28
-0.0177,76805.04
-0.0176,76805.2
-0.0175,76805.2
-0.0174,76805.04
-0.0173,76804.88
-0.0172,76805.12
-0.0171,76804.96
-0.017,76805.04
-0.0169,76805.2
-0.0168,76805.04
-0.0167,76804.88
-0.0166,76804.55
-0.0165,76804.96
-0.0164,76804.48
-0.0163,76804.88
-0.0162,76804.64
-0.0161,76804.64
-0.016,76804.96
-0.0159,76804.48
-0.0158,76804.8
-0.0157,76804.4
-0.0156,76804.32
-0.0155,76804.32
-0.0154,76804
-0.0153,76804.16
-0.0152,76804.4
-0.0151,76804.48
-0.015,76804
-0.0149,76804.16
-0.0148,76804.16
-0.0147,76803.92
-0.0146,76804.08
-0.0145,76803.92
-0.0144,76803.76
-0.0143,76803.84
-0.0142,76803.76
-0.0141,76803.52
-0.014,76803.36
-0.0139,76803.76
-0.0138,76803.12
-0.0137,76803.36
-0.0136,76803.2
-0.0135,76803.44
-0.0134,76803.12
-0.0133,76803.2
-0.0132,76803.28
-0.0131,76803.12
-0.013,76803.2
-0.0129,76803.12
-0.0128,76802.96
-0.0127,76802.8
-0.0126,76802.96
-0.0125,76802.72
-0.0124,76802.96
-0.0123,76803.28
-0.0122,76802.8
-0.0121,76802.72
-0.012,76802.88
-0.0119,76802.72
-0.0118,76803.2
-0.0117,76803.28
-0.0116,76803.12
-0.0115,76803.04
-0.0114,76802.96
-0.0113,76803.36
-0.0112,76803.12
-0.0111,76803.12
-0.011,76803.28
-0.0109,76803.2
-0.0108,76802.55
-0.0107,76803.04
-0.0106,76803.04
-0.0105,76802.8
-0.0104,76802.8
-0.0103,76802.8
-0.0102,76803.04
-0.0101,76803.12
-0.01,76802.8
-0.00990000000000001,76802.8
-0.0098,76802.32
-0.0097,76802.64
-0.0096,76802.8
-0.00949999999999999,76802.32
-0.00940000000000001,76802.88
-0.0093,76802.4
-0.0092,76802.64
-0.0091,76802.16
-0.00899999999999999,76802.96
-0.00890000000000001,76802.55
-0.0088,76802.16
-0.0087,76802.4
-0.0086,76802.4
-0.00849999999999999,76802.55
-0.0084,76802.4
-0.0083,76802.4
-0.0082,76802.4
-0.0081,76802.32
-0.00799999999999999,76802.16
-0.0079,76802.24
-0.0078,76802.32
-0.0077,76802.32
-0.0076,76802
-0.00749999999999999,76802.32
-0.0074,76802.08
-0.0073,76802.48
-0.0072,76802.24
-0.0071,76802.16
-0.00700000000000001,76802.16
-0.0069,76802
-0.0068,76802
-0.0067,76801.84
-0.00659999999999999,76802.16
-0.00650000000000001,76802
-0.0064,76801.84
-0.0063,76802.24
-0.0062,76802
-0.00609999999999999,76802.08
-0.00600000000000001,76801.76
-0.0059,76802.16
-0.0058,76801.92
-0.0057,76802.24
-0.00559999999999999,76802.16
-0.0055,76802.4
-0.0054,76802.16
-0.0053,76801.84
-0.0052,76802.24
-0.00509999999999999,76802.32
-0.005,76802.32
-0.0049,76802
-0.0048,76802.16
-0.0047,76801.68
-0.00459999999999999,76802
-0.0045,76802.24
-0.0044,76802.32
-0.0043,76802.32
-0.0042,76802.32
-0.00409999999999999,76802.16
-0.004,76802
-0.0039,76802
-0.0038,76802.24
-0.00369999999999999,76802.24
-0.00360000000000001,76802.4
-0.0035,76802.08
-0.0034,76802.32
-0.0033,76802.08
-0.00319999999999999,76802.32
-0.00310000000000001,76802.08
-0.003,76802.16
-0.0029,76802.55
-0.0028,76802.32
-0.00269999999999999,76802.16
-0.00260000000000001,76802.32
-0.0025,76802.32
-0.0024,76802.24
-0.0023,76802.48
-0.00219999999999999,76802.4
-0.0021,76802.48
-0.002,76802.8
-0.0019,76802.4
-0.0018,76802.16
-0.00169999999999999,76802.32
-0.0016,76802.4
-0.0015,76802.4
-0.0014,76802.55
-0.0013,76802.48
-0.00119999999999999,76802.4
-0.0011,76802.4
-0.001,76802.24
-0.000899999999999998,76802.32
-0.000799999999999995,76802.4
-0.000699999999999992,76802.08
-0.000600000000000003,76802.55
-0.0005,76802.48
-0.000399999999999998,76802.4
-0.000299999999999995,76802.08
-0.000200000000000006,76802.48
-0.000100000000000003,76802.4
0,76802.48
0.000100000000000003,76802.55
0.000200000000000006,76802.24
0.000299999999999995,76802.08
0.000399999999999998,76802.48
0.0005,76802.4
0.000600000000000003,76802.32
0.000700000000000006,76802.48
0.000799999999999995,76802.48
0.000899999999999998,76802.4
0.001,76802.64
0.0011,76802.64
0.00120000000000001,76802.55
0.0013,76802.64
0.0014,76802.24
0.0015,76802.4
0.0016,76802.48
0.00170000000000001,76802.4
0.0018,76802.55
0.0019,76802.4
0.002,76802.48
0.0021,76802.4
0.00220000000000001,76802.55
0.0023,76802.64
0.0024,76802.55
0.0025,76802.48
0.00260000000000001,76802.24
0.00270000000000001,76802.4
0.0028,76802.24
0.0029,76802.32
0.003,76802.64
0.00310000000000001,76802.24
0.00319999999999999,76802.16
0.0033,76802.64
0.0034,76802.16
0.0035,76802.4
0.00360000000000001,76802.48
0.00369999999999999,76802.48
0.0038,76802.4
0.0039,76802.55
0.004,76802.24
0.00410000000000001,76802.4
0.0042,76802.4
0.0043,76802.48
0.0044,76802.72
0.0045,76802.32
0.00460000000000001,76802.32
0.0047,76802.48
0.0048,76802.24
0.0049,76802.32
0.005,76802.16
0.00510000000000001,76802.48
0.0052,76802.64
0.0053,76802.4
0.0054,76802.4
0.0055,76802.48
0.00560000000000001,76802.55
0.0057,76802.4
0.0058,76802.48
0.0059,76802.72
0.00600000000000001,76802.64
0.00609999999999999,76802.24
0.0062,76802.72
0.0063,76802.55
0.0064,76802.16
0.00650000000000001,76802.72
0.00659999999999999,76802.08
0.0067,76802.24
0.0068,76802.24
0.0069,76802.16
0.00700000000000001,76802.55
0.0071,76802.08
0.0072,76802.4
0.0073,76802.24
0.0074,76802.24
0.00750000000000001,76802.24
0.0076,76802.24
0.0077,76802.24
0.0078,76802.4
0.0079,76802.48
0.00800000000000001,76802.08
0.0081,76802.24
0.0082,76802.72
0.0083,76802.16
0.0084,76802.24
0.00850000000000001,76802.32
0.0086,76802.32
0.0087,76802.24
0.0088,76802.08
0.00890000000000001,76801.92
0.00900000000000001,76802.24
0.0091,76802.32
0.0092,76802
0.0093,76802.48
0.00940000000000001,76801.92
0.00949999999999999,76802.32
0.0096,76801.92
0.0097,76802.24
0.0098,76802.32
0.00990000000000001,76802.16
0.01,76801.92
0.0101,76802.32
0.0102,76802.32
0.0103,76802
0.0104,76802.08
0.0105,76802.08
0.0106,76802.08
0.0107,76801.84
0.0108,76801.68
0.0109,76801.76
0.011,76802.24
0.0111,76802
0.0112,76802
0.0113,76801.92
0.0114,76801.76
0.0115,76801.68
0.0116,76801.92
0.0117,76802
0.0118,76802.08
0.0119,76802.16
0.012,76801.92
0.0121,76801.84
0.0122,76802
0.0123,76802
0.0124,76801.92
0.0125,76801.84
0.0126,76802
0.0127,76801.84
0.0128,76802.24
0.0129,76801.84
0.013,76802.32
0.0131,76801.68
0.0132,76801.92
0.0133,76801.76
0.0134,76801.6
0.0135,76801.76
0.0136,76802.08
0.0137,76801.92
0.0138,76802.08
0.0139,76801.76
0.014,76801.6
0.0141,76801.76
0.0142,76801.52
0.0143,76801.76
0.0144,76801.76
0.0145,76801.92
0.0146,76801.84
0.0147,76801.52
0.0148,76801.76
0.0149,76801.92
0.015,76801.92
0.0151,76801.76
0.0152,76802.16
0.0153,76801.84
0.0154,76801.76
0.0155,76802
0.0156,76801.84
0.0157,76801.84
0.0158,76802.08
0.0159,76801.84
0.016,76801.84
0.0161,76801.76
0.0162,76801.6
0.0163,76801.68
0.0164,76801.6
0.0165,76802.08
0.0166,76801.36
0.0167,76801.84
0.0168,76802
0.0169,76802
0.017,76801.68
0.0171,76801.76
0.0172,76802.08
0.0173,76801.84
0.0174,76801.68
0.0175,76802.24
0.0176,76802
0.0177,76802.16
0.0178,76801.68
0.0179,76802
0.018,76802.08
0.0181,76801.92
0.0182,76801.84
0.0183,76802.24
0.0184,76802.32
0.0185,76802
0.0186,76802
0.0187,76802.24
0.0188,76802.16
0.0189,76802.16
0.019,76801.92
0.0191,76802.24
0.0192,76802.08
0.0193,76802
0.0194,76802.32
0.0195,76801.84
0.0196,76802.16
0.0197,76802.16
0.0198,76802.08
0.0199,76802
0.02,76802
0.0201,76802.16
0.0202,76802.24
0.0203,76802.08
0.0204,76802.08
0.0205,76802.08
0.0206,76802.16
0.0207,76802.4
0.0208,76802.4
0.0209,76802
0.021,76802.16
0.0211,76802.08
0.0212,76802.16
0.0213,76802.16
0.0214,76802.24
0.0215,76801.92
0.0216,76802.48
0.0217,76802
0.0218,76802.16
0.0219,76802
0.022,76802.24
0.0221,76802.16
0.0222,76802.4
0.0223,76802.24
0.0224,76802.48
0.0225,76802.24
0.0226,76802.32
0.0227,76802.4
0.0228,76802.4
0.0229,76802.16
0.023,76802.4
0.0231,76802.16
0.0232,76802.16
0.0233,76802.24
0.0234,76802.48
0.0235,76802.24
0.0236,76802.16
0.0237,76802.08
0.0238,76802.16
0.0239,76802.16
0.024,76802.08
0.0241,76802.32
0.0242,76802.4
0.0243,76802.24
0.0244,76802.48
0.0245,76802.32
0.0246,76802.32
0.0247,76802.24
0.0248,76802.24
0.0249,76802
0.025,76802.4
0.0251,76802.16
0.0252,76802.4
0.0253,76802.4
0.0254,76802.24
0.0255,76802.4
0.0256,76802.08
0.0257,76802.24
0.0258,76802.48
0.0259,76802.32
0.026,76802.32
0.0261,76802.4
0.0262,76802.4
0.0263,76802.48
0.0264,76802.16
0.0265,76802.32
0.0266,76802.32
0.0267,76802.4
0.0268,76802.48
0.0269,76802.32
0.027,76802.32
0.0271,76802.24
0.0272,76802.08
0.0273,76802.32
0.0274,76802.32
0.0275,76802
0.0276,76802.32
