File:,,,,,,,,
,,,,,,,,
System Parameter ,,,,,,,,
Ref Level,-20.00,Ref Offset,0,Center Freq.,837536000,Span,20000,
Start Freq.,837526000,Stop Freq.,837546000,VBW,100,VBW Flag,Auto,
RBW,100,RBW Flag,Auto,VBW/RBW,1,VBW/RBW Flag,Auto,
Sweep Time,0.206059002499542,Sweep Time Flag,Auto,Attenuation,10,Attenuation Flag,Auto,
Scale DIV,10,Scale Type,LOG,Sweep Mode,Normal,Preamp,Off,
PSD Mode,Off,,,,,,,
Sweep Type,Continue,Average Type,Auto,,,,,
,,,,,,,,
Trace Parameter,,,,,,,,
Trace1,,Trace2,,Trace3,,Trace4,,
Mode,Clear Write,Mode,Blank,Mode,Blank,Mode,Blank,
Detector,Pos Peak,Detector,Pos Peak,Detector,Pos Peak,Detector,Pos Peak,
,,,,,,,,
Trace Data,,,,,,,,
Trace1 X,Trace1 Y,Trace2 X,Trace2 Y,Trace3 X,Trace3 Y,Trace4 X,Trace4 Y,
837526000,-80.1903,,,,,,,
837526043,-83.2157,,,,,,,
837526087,-84.7944,,,,,,,
837526130,-77.3507,,,,,,,
837526174,-74.3312,,,,,,,
837526217,-72.5561,,,,,,,
837526261,-72.5904,,,,,,,
837526304,-74.2291,,,,,,,
837526348,-78.4019,,,,,,,
837526391,-78.6061,,,,,,,
837526435,-77.8450,,,,,,,
837526478,-77.6117,,,,,,,
837526522,-77.6616,,,,,,,
837526565,-79.1479,,,,,,,
837526609,-82.9137,,,,,,,
837526652,-88.0358,,,,,,,
837526696,-88.1583,,,,,,,
837526739,-83.9414,,,,,,,
837526783,-79.3482,,,,,,,
837526826,-78.3367,,,,,,,
837526870,-78.4069,,,,,,,
837526913,-80.0854,,,,,,,
837526957,-82.0385,,,,,,,
837527000,-82.8861,,,,,,,
837527043,-82.9685,,,,,,,
837527087,-85.6818,,,,,,,
837527130,-79.1006,,,,,,,
837527174,-75.2704,,,,,,,
837527217,-75.3476,,,,,,,
837527261,-77.8176,,,,,,,
837527304,-78.0259,,,,,,,
837527348,-78.0217,,,,,,,
837527391,-81.5065,,,,,,,
837527435,-81.2091,,,,,,,
837527478,-80.7159,,,,,,,
837527522,-80.1825,,,,,,,
837527565,-76.9345,,,,,,,
837527609,-76.4944,,,,,,,
837527652,-76.7901,,,,,,,
837527696,-78.6236,,,,,,,
837527739,-74.0817,,,,,,,
837527783,-72.3714,,,,,,,
837527826,-72.3212,,,,,,,
837527870,-73.1431,,,,,,,
837527913,-74.4827,,,,,,,
837527957,-78.4043,,,,,,,
837528000,-83.1959,,,,,,,
837528043,-86.8503,,,,,,,
837528087,-89.4089,,,,,,,
837528130,-88.2746,,,,,,,
837528174,-88.8290,,,,,,,
837528217,-92.0563,,,,,,,
837528261,-90.1255,,,,,,,
837528304,-85.6715,,,,,,,
837528348,-85.1168,,,,,,,
837528391,-85.2853,,,,,,,
837528435,-81.8372,,,,,,,
837528478,-80.2280,,,,,,,
837528522,-80.8646,,,,,,,
837528565,-83.6939,,,,,,,
837528609,-88.4781,,,,,,,
837528652,-81.3111,,,,,,,
837528696,-75.9916,,,,,,,
837528739,-72.9810,,,,,,,
837528783,-71.4847,,,,,,,
837528826,-71.5254,,,,,,,
837528870,-72.6117,,,,,,,
837528913,-74.3782,,,,,,,
837528957,-74.7107,,,,,,,
837529000,-75.4212,,,,,,,
837529043,-73.4064,,,,,,,
837529087,-75.8607,,,,,,,
837529130,-86.1242,,,,,,,
837529174,-74.2039,,,,,,,
837529217,-71.2098,,,,,,,
837529261,-70.3753,,,,,,,
