Model,TBS 1062,
Firmware Version,CF:91.1CT FV:v26.02,
,,
Waveform Type,ANALOG,ANALOG
Point Format,Y,Y
Horizontal Units,"s","s"
Horizontal Scale,0.1,0.1
Horizontal Delay,0,0
Sample Interval,0.0004,0.0004
Record Length,2500,2500
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10X,10X
Vertical Units,"Volts","Volts"
Vertical Offset,0,0
Vertical Scale,5,0.2
Vertical Position,164,-9.2
,,
,,
,,
Label,,
TIME,CH1,CH2
-4.6996,-8.1995E+07,18364.8
-4.6992,-8.19952E+07,18366.4
-4.6988,-8.19952E+07,18365.6
-4.6984,-8.1995E+07,18365.6
-4.698,-8.19952E+07,18365.6
-4.6976,-8.19952E+07,18364.8
-4.6972,-8.19952E+07,18366.4
-4.6968,-8.19952E+07,18366.4
-4.6964,-8.19952E+07,18367.2
-4.696,-8.19952E+07,18366.4
-4.6956,-8.19952E+07,18365.6
-4.6952,-8.19954E+07,18367.2
-4.6948,-8.19954E+07,18365.6
-4.6944,-8.19954E+07,18366.4
-4.694,-8.19954E+07,18368
-4.6936,-8.19954E+07,18367.2
-4.6932,-8.19954E+07,18368
-4.6928,-8.19954E+07,18366.4
-4.6924,-8.19954E+07,18367.2
-4.692,-8.19954E+07,18367.2
-4.6916,-8.19954E+07,18365.6
-4.6912,-8.19954E+07,18366.4
-4.6908,-8.19954E+07,18366.4
-4.6904,-8.19956E+07,18368.8
-4.69,-8.19956E+07,18366.4
-4.6896,-8.19956E+07,18367.2
-4.6892,-8.19956E+07,18367.2
-4.6888,-8.19956E+07,18367.2
-4.6884,-8.19956E+07,18367.2
-4.688,-8.19956E+07,18368.8
-4.6876,-8.19956E+07,18368.8
-4.6872,-8.19956E+07,18365.6
-4.6868,-8.19956E+07,18368.8
-4.6864,-8.19956E+07,18368
-4.686,-8.19956E+07,18368.8
-4.6856,-8.19958E+07,18368.8
-4.6852,-8.19956E+07,18368.8
-4.6848,-8.19958E+07,18368.8
-4.6844,-8.19958E+07,18368.8
-4.684,-8.19958E+07,18368.8
-4.6836,-8.19958E+07,18368.8
-4.6832,-8.19958E+07,18368.8
-4.6828,-8.19958E+07,18368.8
-4.6824,-8.19958E+07,18369.6
-4.682,-8.19958E+07,18368.8
-4.6816,-8.19958E+07,18367.2
-4.6812,-8.1996E+07,18369.6
-4.6808,-8.19958E+07,18368.8
-4.6804,-8.1996E+07,18369.6
-4.68,-8.1996E+07,18368.8
-4.6796,-8.19958E+07,18371.2
-4.6792,-8.1996E+07,18369.6
-4.6788,-8.1996E+07,18369.6
-4.6784,-8.1996E+07,18369.6
-4.678,-8.1996E+07,18371.2
-4.6776,-8.1996E+07,18369.6
-4.6772,-8.1996E+07,18370.4
-4.6768,-8.1996E+07,18370.4
-4.6764,-8.19962E+07,18370.4
-4.676,-8.19962E+07,18371.2
-4.6756,-8.19962E+07,18369.6
-4.6752,-8.19962E+07,18370.4
-4.6748,-8.19964E+07,18369.6
-4.6744,-8.19964E+07,18370.4
-4.674,-8.19962E+07,18370.4
-4.6736,-8.19964E+07,18372
-4.6732,-8.19962E+07,18370.4
-4.6728,-8.19964E+07,18371.2
-4.6724,-8.19964E+07,18371.2
-4.672,-8.19964E+07,18370.4
-4.6716,-8.19964E+07,18371.2
-4.6712,-8.19964E+07,18372
-4.6708,-8.19964E+07,18371.2
-4.6704,-8.19966E+07,18370.4
-4.67,-8.19966E+07,18371.2
-4.6696,-8.19966E+07,18371.2
-4.6692,-8.19966E+07,18370.4
-4.6688,-8.19966E+07,18372
-4.6684,-8.19966E+07,18371.2
-4.668,-8.19966E+07,18372.8
-4.6676,-8.19966E+07,18372
-4.6672,-8.19968E+07,18372
-4.6668,-8.19968E+07,18372
-4.6664,-8.19968E+07,18372
-4.666,-8.19968E+07,18372
-4.6656,-8.19968E+07,18372.8
-4.6652,-8.19968E+07,18373.6
-4.6648,-8.19968E+07,18373.6
-4.6644,-8.19968E+07,18372
-4.664,-8.19968E+07,18372.8
-4.6636,-8.19968E+07,18372
-4.6632,-8.19968E+07,18372.8
-4.6628,-8.1997E+07,18372.8
-4.6624,-8.1997E+07,18374.4
-4.662,-8.1997E+07,18373.6
-4.6616,-8.1997E+07,18372.8
-4.6612,-8.1997E+07,18374.4
