Model,TBS 1062,
Firmware Version,CF:91.1CT FV:v26.02,
,,
Waveform Type,ANALOG,ANALOG
Point Format,Y,Y
Horizontal Units,"s","s"
Horizontal Scale,0.1,0.1
Horizontal Delay,0,0
Sample Interval,0.0004,0.0004
Record Length,2500,2500
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10X,10X
Vertical Units,"Volts","Volts"
Vertical Offset,0,0
Vertical Scale,5,0.2
Vertical Position,164,-9.2
,,
,,
,,
Label,,
TIME,CH1,CH2
-6.24,-8.19916E+07,18385.6
-6.2396,-8.19916E+07,18384.8
-6.2392,-8.19916E+07,18385.6
-6.2388,-8.19916E+07,18385.6
-6.2384,-8.19916E+07,18384.8
-6.238,-8.19916E+07,18384.8
-6.2376,-8.19916E+07,18384.8
-6.2372,-8.19916E+07,18384
-6.2368,-8.19916E+07,18384.8
-6.2364,-8.19916E+07,18384
-6.236,-8.19916E+07,18384
-6.2356,-8.19916E+07,18384.8
-6.2352,-8.19916E+07,18384
-6.2348,-8.19916E+07,18384
-6.2344,-8.19916E+07,18383.2
-6.234,-8.19916E+07,18383.2
-6.2336,-8.19916E+07,18384
-6.2332,-8.19916E+07,18384
-6.2328,-8.19916E+07,18383.2
-6.2324,-8.19916E+07,18383.2
-6.232,-8.19916E+07,18382.4
-6.2316,-8.19916E+07,18384
-6.2312,-8.19916E+07,18383.2
-6.2308,-8.19916E+07,18384.8
-6.2304,-8.19916E+07,18384
-6.23,-8.19916E+07,18382.4
-6.2296,-8.19916E+07,18381.6
-6.2292,-8.19916E+07,18382.4
-6.2288,-8.19916E+07,18382.4
-6.2284,-8.19916E+07,18383.2
-6.228,-8.19916E+07,18383.2
-6.2276,-8.19918E+07,18382.4
-6.2272,-8.19916E+07,18382.4
-6.2268,-8.19918E+07,18381.6
-6.2264,-8.19918E+07,18381.6
-6.226,-8.19918E+07,18382.4
-6.2256,-8.19918E+07,18382.4
-6.2252,-8.19918E+07,18381.6
-6.2248,-8.19918E+07,18380
-6.2244,-8.19918E+07,18381.6
-6.224,-8.19918E+07,18380.8
-6.2236,-8.19918E+07,18381.6
-6.2232,-8.19918E+07,18382.4
-6.2228,-8.19918E+07,18382.4
-6.2224,-8.19918E+07,18380.8
-6.222,-8.19918E+07,18380.8
-6.2216,-8.19918E+07,18380
-6.2212,-8.19918E+07,18381.6
-6.2208,-8.19918E+07,18380
-6.2204,-8.19918E+07,18380.8
-6.22,-8.19918E+07,18379.2
-6.2196,-8.19918E+07,18380
-6.2192,-8.1992E+07,18380.8
-6.2188,-8.1992E+07,18380
-6.2184,-8.1992E+07,18380
-6.218,-8.19918E+07,18378.4
-6.2176,-8.1992E+07,18379.2
-6.2172,-8.19918E+07,18378.4
-6.2168,-8.1992E+07,18379.2
-6.2164,-8.1992E+07,18379.2
-6.216,-8.1992E+07,18377.6
-6.2156,-8.1992E+07,18378.4
-6.2152,-8.1992E+07,18379.2
-6.2148,-8.1992E+07,18379.2
-6.2144,-8.1992E+07,18379.2
-6.214,-8.1992E+07,18378.4
-6.2136,-8.1992E+07,18380
-6.2132,-8.1992E+07,18377.6
-6.2128,-8.1992E+07,18378.4
-6.2124,-8.1992E+07,18378.4
-6.212,-8.1992E+07,18378.4
-6.2116,-8.1992E+07,18377.6
-6.2112,-8.1992E+07,18378.4
-6.2108,-8.1992E+07,18376.8
-6.2104,-8.1992E+07,18376.8
-6.21,-8.19922E+07,18375.2
-6.2096,-8.19922E+07,18378.4
-6.2092,-8.1992E+07,18378.4
-6.2088,-8.19922E+07,18376.8
-6.2084,-8.19922E+07,18377.6
-6.208,-8.19922E+07,18377.6
-6.2076,-8.19922E+07,18376
-6.2072,-8.19922E+07,18376.8
-6.2068,-8.19922E+07,18377.6
-6.2064,-8.19922E+07,18376
-6.206,-8.19922E+07,18376
-6.2056,-8.19922E+07,18376.8
-6.2052,-8.19922E+07,18376
-6.2048,-8.19922E+07,18376
-6.2044,-8.19922E+07,18376.8
-6.204,-8.19922E+07,18376
-6.2036,-8.19922E+07,18375.2
-6.2032,-8.19922E+07,18375.2
-6.2028,-8.19922E+07,18376.8
-6.2024,-8.19922E+07,18374.4
-6.202,-8.19924E+07,18374.4
-6.2016,-8.19924E+07,18375.2
-6.2012,-8.19924E+07,18374.4
-6.2008,-8.19924E+07,18374.4
-6.2004,-8.19924E+07,18375.2
-6.2,-8.19924E+07,18374.4
-6.1996,-8.19924E+07,18373.6
-6.1992,-8.19924E+07,18375.2
-6.1988,-8.19924E+07,18374.4
-6.1984,-8.19924E+07,18372
-6.198,-8.19924E+07,18372
-6.1976,-8.19924E+07,18375.2
-6.1972,-8.19924E+07,18372
-6.1968,-8.19924E+07,18372.8
-6.1964,-8.19926E+07,18372.8
-6.196,-8.19924E+07,18372.8
-6.1956,-8.19926E+07,18372.8
-6.1952,-8.19926E+07,18372
-6.1948,-8.19926E+07,18371.2
-6.1944,-8.19926E+07,18372
-6.194,-8.19926E+07,18371.2
-6.1936,-8.19926E+07,18371.2
-6.1932,-8.19926E+07,18371.2
-6.1928,-8.19926E+07,18371.2
-6.1924,-8.19926E+07,18371.2
-6.192,-8.19926E+07,18371.2
-6.1916,-8.19926E+07,18371.2
-6.1912,-8.19926E+07,18370.4
-6.1908,-8.19928E+07,18369.6
-6.1904,-8.19928E+07,18369.6
-6.19,-8.19928E+07,18368.8
-6.1896,-8.19926E+07,18370.4
-6.1892,-8.19928E+07,18368
-6.1888,-8.19928E+07,18371.2
-6.1884,-8.19928E+07,18369.6
-6.188,-8.19928E+07,18369.6
-6.1876,-8.19928E+07,18368
-6.1872,-8.19928E+07,18367.2
-6.1868,-8.19928E+07,18367.2
-6.1864,-8.19928E+07,18366.4
-6.186,-8.19928E+07,18367.2
-6.1856,-8.19928E+07,18368.8
-6.1852,-8.19928E+07,18366.4
-6.1848,-8.1993E+07,18365.6
-6.1844,-8.1993E+07,18367.2
-6.184,-8.19928E+07,18364.8
-6.1836,-8.1993E+07,18364
-6.1832,-8.1993E+07,18364.8
-6.1828,-8.1993E+07,18363.2
