Model,TBS 1062,
Firmware Version,CF:91.1CT FV:v26.02,
,,
Waveform Type,ANALOG,ANALOG
Point Format,Y,Y
Horizontal Units,"s","s"
Horizontal Scale,0.1,0.1
Horizontal Delay,0,0
Sample Interval,0.0004,0.0004
Record Length,2500,2500
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10X,10X
Vertical Units,"Volts","Volts"
Vertical Offset,0,0
Vertical Scale,5,0.2
Vertical Position,164,-9.2
,,
,,
,,
Label,,
TIME,CH1,CH2
-0.42,-8.19922E+07,18375.2
-0.4196,-8.19924E+07,18374.4
-0.4192,-8.19924E+07,18375.2
-0.4188,-8.19924E+07,18373.6
-0.4184,-8.19924E+07,18374.4
-0.418,-8.19924E+07,18375.2
-0.4176,-8.19924E+07,18374.4
-0.4172,-8.19924E+07,18374.4
-0.4168,-8.19924E+07,18373.6
-0.4164,-8.19924E+07,18374.4
-0.416,-8.19924E+07,18373.6
-0.4156,-8.19924E+07,18373.6
-0.4152,-8.19924E+07,18373.6
-0.4148,-8.19924E+07,18374.4
-0.4144,-8.19924E+07,18374.4
-0.414,-8.19924E+07,18372.8
-0.4136,-8.19924E+07,18372
-0.4132,-8.19924E+07,18373.6
-0.4128,-8.19926E+07,18372
-0.4124,-8.19926E+07,18371.2
-0.412,-8.19924E+07,18372
-0.4116,-8.19926E+07,18372
-0.4112,-8.19926E+07,18372.8
-0.4108,-8.19926E+07,18372
-0.4104,-8.19924E+07,18372
-0.41,-8.19926E+07,18372.8
-0.4096,-8.19926E+07,18372
-0.4092,-8.19926E+07,18372.8
-0.4088,-8.19926E+07,18371.2
-0.4084,-8.19926E+07,18371.2
-0.408,-8.19926E+07,18371.2
-0.4076,-8.19926E+07,18371.2
-0.4072,-8.19926E+07,18372
-0.4068,-8.19928E+07,18371.2
-0.4064,-8.19926E+07,18371.2
-0.406,-8.19928E+07,18371.2
-0.4056,-8.19928E+07,18370.4
-0.4052,-8.19926E+07,18371.2
-0.4048,-8.19926E+07,18371.2
-0.4044,-8.19928E+07,18370.4
-0.404,-8.19928E+07,18370.4
-0.4036,-8.19928E+07,18369.6
-0.4032,-8.19928E+07,18371.2
-0.4028,-8.19928E+07,18370.4
-0.4024,-8.19928E+07,18368.8
-0.402,-8.19928E+07,18370.4
-0.4016,-8.19928E+07,18371.2
-0.4012,-8.19928E+07,18369.6
-0.4008,-8.19928E+07,18369.6
-0.4004,-8.19928E+07,18371.2
-0.4,-8.19928E+07,18370.4
-0.3996,-8.1993E+07,18370.4
-0.3992,-8.1993E+07,18369.6
-0.3988,-8.19928E+07,18368.8
-0.3984,-8.1993E+07,18370.4
-0.398,-8.1993E+07,18368.8
-0.3976,-8.1993E+07,18370.4
-0.3972,-8.1993E+07,18368.8
-0.3968,-8.1993E+07,18369.6
-0.3964,-8.1993E+07,18369.6
-0.396,-8.1993E+07,18369.6
-0.3956,-8.1993E+07,18369.6
-0.3952,-8.1993E+07,18369.6
-0.3948,-8.1993E+07,18369.6
-0.3944,-8.1993E+07,18369.6
-0.394,-8.1993E+07,18369.6
-0.3936,-8.1993E+07,18370.4
-0.3932,-8.1993E+07,18368.8
-0.3928,-8.1993E+07,18369.6
-0.3924,-8.19932E+07,18369.6
-0.392,-8.1993E+07,18369.6
-0.3916,-8.19932E+07,18368.8
-0.3912,-8.19932E+07,18368
-0.3908,-8.19932E+07,18369.6
-0.3904,-8.19932E+07,18369.6
-0.39,-8.19932E+07,18368.8
-0.3896,-8.19932E+07,18370.4
-0.3892,-8.19932E+07,18367.2
-0.3888,-8.19932E+07,18369.6
-0.3884,-8.19932E+07,18370.4
-0.388,-8.19934E+07,18368
-0.3876,-8.19932E+07,18369.6
-0.3872,-8.19932E+07,18368
-0.3868,-8.19934E+07,18368.8
-0.3864,-8.19934E+07,18367.2
-0.386,-8.19934E+07,18369.6
-0.3856,-8.19934E+07,18369.6
-0.3852,-8.19934E+07,18368
-0.3848,-8.19934E+07,18368
-0.3844,-8.19934E+07,18368
-0.384,-8.19934E+07,18367.2
-0.3836,-8.19934E+07,18368.8
-0.3832,-8.19934E+07,18366.4
-0.3828,-8.19934E+07,18365.6
-0.3824,-8.19934E+07,18366.4
-0.382,-8.19934E+07,18366.4
-0.3816,-8.19936E+07,18365.6
-0.3812,-8.19934E+07,18368
-0.3808,-8.19936E+07,18365.6
-0.3804,-8.19934E+07,18365.6
-0.38,-8.19936E+07,18366.4
-0.3796,-8.19936E+07,18366.4
-0.3792,-8.19936E+07,18366.4
-0.3788,-8.19936E+07,18366.4
-0.3784,-8.19936E+07,18366.4
-0.378,-8.19936E+07,18365.6
-0.3776,-8.19936E+07,18364.8
-0.3772,-8.19936E+07,18364.8
-0.3768,-8.19936E+07,18365.6
-0.3764,-8.19936E+07,18366.4
-0.376,-8.19936E+07,18364.8
-0.3756,-8.19938E+07,18365.6
-0.3752,-8.19938E+07,18363.2
-0.3748,-8.19938E+07,18367.2
-0.3744,-8.19938E+07,18361.6
-0.374,-8.19938E+07,18363.2
-0.3736,-8.19938E+07,18364
-0.3732,-8.19938E+07,18364
-0.3728,-8.19938E+07,18361.6
-0.3724,-8.19938E+07,18364.8
-0.372,-8.19938E+07,18363.2
-0.3716,-8.19938E+07,18363.2
-0.3712,-8.19938E+07,18364
-0.3708,-8.19938E+07,18363.2
-0.3704,-8.19938E+07,18364.8
-0.37,-8.1994E+07,18363.2
-0.3696,-8.1994E+07,18364.8
-0.3692,-8.1994E+07,18363.2
-0.3688,-8.1994E+07,18361.6
-0.3684,-8.1994E+07,18367.2
-0.368,-8.1994E+07,18361.6
-0.3676,-8.1994E+07,18363.2
-0.3672,-8.1994E+07,18364
-0.3668,-8.19942E+07,18360.8
-0.3664,-8.19942E+07,18364.8
-0.366,-8.19942E+07,18361.6
-0.3656,-8.19942E+07,18363.2
-0.3652,-8.19942E+07,18361.6
-0.3648,-8.19942E+07,18364
-0.3644,-8.19942E+07,18360.8
-0.364,-8.19942E+07,18361.6
-0.3636,-8.19942E+07,18361.6
-0.3632,-8.19942E+07,18362.4
