Model,TBS 1062,
Firmware Version,CF:91.1CT FV:v26.02,
,,
Waveform Type,ANALOG,ANALOG
Point Format,Y,Y
Horizontal Units,"s","s"
Horizontal Scale,0.1,0.1
Horizontal Delay,0,0
Sample Interval,0.0004,0.0004
Record Length,2500,2500
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10X,10X
Vertical Units,"Volts","Volts"
Vertical Offset,0,0
Vertical Scale,5,0.2
Vertical Position,164,-9.2
,,
,,
,,
Label,,
TIME,CH1,CH2
-5.08,-8.1992E+07,18378.4
-5.0796,-8.1992E+07,18378.4
-5.0792,-8.1992E+07,18379.2
-5.0788,-8.1992E+07,18380
-5.0784,-8.1992E+07,18380
-5.078,-8.1992E+07,18378.4
-5.0776,-8.1992E+07,18379.2
-5.0772,-8.19922E+07,18377.6
-5.0768,-8.1992E+07,18379.2
-5.0764,-8.1992E+07,18379.2
-5.076,-8.19922E+07,18378.4
-5.0756,-8.19922E+07,18378.4
-5.0752,-8.19922E+07,18379.2
-5.0748,-8.19922E+07,18378.4
-5.0744,-8.19922E+07,18377.6
-5.074,-8.19922E+07,18377.6
-5.0736,-8.19922E+07,18378.4
-5.0732,-8.19922E+07,18378.4
-5.0728,-8.19922E+07,18379.2
-5.0724,-8.19922E+07,18379.2
-5.072,-8.19922E+07,18378.4
-5.0716,-8.19922E+07,18379.2
-5.0712,-8.19922E+07,18376.8
-5.0708,-8.19922E+07,18378.4
-5.0704,-8.19922E+07,18376.8
-5.07,-8.19922E+07,18378.4
-5.0696,-8.19922E+07,18377.6
-5.0692,-8.19924E+07,18377.6
-5.0688,-8.19924E+07,18377.6
-5.0684,-8.19922E+07,18377.6
-5.068,-8.19922E+07,18376.8
-5.0676,-8.19924E+07,18377.6
-5.0672,-8.19922E+07,18376
-5.0668,-8.19924E+07,18376.8
-5.0664,-8.19924E+07,18376
-5.066,-8.19924E+07,18376.8
-5.0656,-8.19924E+07,18375.2
-5.0652,-8.19924E+07,18376
-5.0648,-8.19924E+07,18378.4
-5.0644,-8.19924E+07,18375.2
-5.064,-8.19924E+07,18376
-5.0636,-8.19924E+07,18375.2
-5.0632,-8.19924E+07,18375.2
-5.0628,-8.19926E+07,18375.2
-5.0624,-8.19924E+07,18376
-5.062,-8.19924E+07,18375.2
-5.0616,-8.19924E+07,18375.2
-5.0612,-8.19926E+07,18374.4
-5.0608,-8.19926E+07,18374.4
-5.0604,-8.19924E+07,18376
-5.06,-8.19924E+07,18375.2
-5.0596,-8.19926E+07,18375.2
-5.0592,-8.19924E+07,18375.2
-5.0588,-8.19926E+07,18375.2
-5.0584,-8.19926E+07,18376
-5.058,-8.19926E+07,18374.4
-5.0576,-8.19926E+07,18375.2
-5.0572,-8.19926E+07,18374.4
-5.0568,-8.19926E+07,18373.6
-5.0564,-8.19926E+07,18374.4
-5.056,-8.19926E+07,18374.4
-5.0556,-8.19926E+07,18374.4
-5.0552,-8.19926E+07,18373.6
-5.0548,-8.19926E+07,18375.2
-5.0544,-8.19928E+07,18374.4
-5.054,-8.19926E+07,18372.8
-5.0536,-8.19926E+07,18371.2
-5.0532,-8.19928E+07,18373.6
-5.0528,-8.19926E+07,18372
-5.0524,-8.19928E+07,18372
-5.052,-8.19928E+07,18371.2
-5.0516,-8.19928E+07,18372.8
-5.0512,-8.19928E+07,18371.2
-5.0508,-8.19928E+07,18371.2
-5.0504,-8.19928E+07,18371.2
-5.05,-8.19928E+07,18371.2
-5.0496,-8.19928E+07,18372.8
-5.0492,-8.19928E+07,18371.2
-5.0488,-8.19928E+07,18372.8
-5.0484,-8.19928E+07,18370.4
-5.048,-8.19928E+07,18369.6
-5.0476,-8.1993E+07,18371.2
-5.0472,-8.1993E+07,18368.8
-5.0468,-8.1993E+07,18370.4
-5.0464,-8.1993E+07,18370.4
-5.046,-8.1993E+07,18369.6
-5.0456,-8.1993E+07,18370.4
-5.0452,-8.1993E+07,18371.2
-5.0448,-8.1993E+07,18368.8
-5.0444,-8.1993E+07,18369.6
-5.044,-8.1993E+07,18369.6
-5.0436,-8.19932E+07,18369.6
-5.0432,-8.1993E+07,18368
-5.0428,-8.1993E+07,18370.4
-5.0424,-8.1993E+07,18368.8
-5.042,-8.19932E+07,18371.2
-5.0416,-8.1993E+07,18368.8
-5.0412,-8.1993E+07,18369.6
-5.0408,-8.19932E+07,18368
-5.0404,-8.19932E+07,18368.8
-5.04,-8.19932E+07,18368.8
-5.0396,-8.19932E+07,18367.2
-5.0392,-8.19932E+07,18367.2
-5.0388,-8.19932E+07,18368
-5.0384,-8.19932E+07,18368
-5.038,-8.19932E+07,18368
-5.0376,-8.19932E+07,18368
-5.0372,-8.19932E+07,18366.4
-5.0368,-8.19932E+07,18367.2
-5.0364,-8.19932E+07,18367.2
-5.036,-8.19932E+07,18367.2
-5.0356,-8.19934E+07,18367.2
-5.0352,-8.19934E+07,18367.2
-5.0348,-8.19934E+07,18368
-5.0344,-8.19934E+07,18366.4
-5.034,-8.19934E+07,18368
-5.0336,-8.19934E+07,18366.4
-5.0332,-8.19934E+07,18364.8
-5.0328,-8.19934E+07,18365.6
-5.0324,-8.19934E+07,18366.4
-5.032,-8.19934E+07,18367.2
-5.0316,-8.19934E+07,18366.4
-5.0312,-8.19934E+07,18368
-5.0308,-8.19934E+07,18365.6
-5.0304,-8.19936E+07,18364
-5.03,-8.19936E+07,18364.8
-5.0296,-8.19936E+07,18363.2
-5.0292,-8.19936E+07,18366.4
-5.0288,-8.19936E+07,18367.2
-5.0284,-8.19936E+07,18365.6
-5.028,-8.19936E+07,18367.2
-5.0276,-8.19936E+07,18364
-5.0272,-8.19936E+07,18363.2
-5.0268,-8.19936E+07,18364
-5.0264,-8.19938E+07,18365.6
-5.026,-8.19936E+07,18367.2
-5.0256,-8.19936E+07,18364.8
-5.0252,-8.19938E+07,18364.8
-5.0248,-8.19938E+07,18364
-5.0244,-8.19938E+07,18364.8
-5.024,-8.19938E+07,18365.6
-5.0236,-8.19938E+07,18364.8
-5.0232,-8.19938E+07,18364
-5.0228,-8.19938E+07,18365.6
