Model,TBS 1062,
Firmware Version,CF:91.1CT FV:v26.02,
,,
Waveform Type,ANALOG,ANALOG
Point Format,Y,Y
Horizontal Units,"s","s"
Horizontal Scale,0.1,0.1
Horizontal Delay,0,0
Sample Interval,0.0004,0.0004
Record Length,2500,2500
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10X,10X
Vertical Units,"Volts","Volts"
Vertical Offset,0,0
Vertical Scale,5,0.2
Vertical Position,164,-9.2
,,
,,
,,
Label,,
TIME,CH1,CH2
-4.12,-8.19914E+07,18384.8
-4.1196,-8.19916E+07,18384.8
-4.1192,-8.19914E+07,18384.8
-4.1188,-8.19916E+07,18384.8
-4.1184,-8.19914E+07,18384
-4.118,-8.19914E+07,18384.8
-4.1176,-8.19914E+07,18385.6
-4.1172,-8.19916E+07,18384.8
-4.1168,-8.19914E+07,18384
-4.1164,-8.19916E+07,18384.8
-4.116,-8.19916E+07,18384.8
-4.1156,-8.19916E+07,18385.6
-4.1152,-8.19914E+07,18384.8
-4.1148,-8.19916E+07,18385.6
-4.1144,-8.19914E+07,18384.8
-4.114,-8.19916E+07,18384
-4.1136,-8.19916E+07,18384
-4.1132,-8.19916E+07,18384.8
-4.1128,-8.19916E+07,18384
-4.1124,-8.19916E+07,18384
-4.112,-8.19914E+07,18384
-4.1116,-8.19916E+07,18383.2
-4.1112,-8.19916E+07,18383.2
-4.1108,-8.19916E+07,18383.2
-4.1104,-8.19916E+07,18383.2
-4.11,-8.19916E+07,18383.2
-4.1096,-8.19916E+07,18383.2
-4.1092,-8.19916E+07,18382.4
-4.1088,-8.19916E+07,18382.4
-4.1084,-8.19916E+07,18383.2
-4.108,-8.19916E+07,18382.4
-4.1076,-8.19916E+07,18382.4
-4.1072,-8.19916E+07,18384
-4.1068,-8.19916E+07,18383.2
-4.1064,-8.19916E+07,18384.8
-4.106,-8.19916E+07,18381.6
-4.1056,-8.19916E+07,18382.4
-4.1052,-8.19918E+07,18382.4
-4.1048,-8.19916E+07,18382.4
-4.1044,-8.19916E+07,18381.6
-4.104,-8.19916E+07,18381.6
-4.1036,-8.19916E+07,18381.6
-4.1032,-8.19916E+07,18383.2
-4.1028,-8.19916E+07,18382.4
-4.1024,-8.19918E+07,18381.6
-4.102,-8.19916E+07,18382.4
-4.1016,-8.19916E+07,18382.4
-4.1012,-8.19916E+07,18380.8
-4.1008,-8.19918E+07,18380.8
-4.1004,-8.19916E+07,18381.6
-4.1,-8.19918E+07,18381.6
-4.0996,-8.19918E+07,18381.6
-4.0992,-8.19918E+07,18381.6
-4.0988,-8.19918E+07,18380
-4.0984,-8.19918E+07,18380.8
-4.098,-8.19916E+07,18381.6
-4.0976,-8.19918E+07,18380.8
-4.0972,-8.19918E+07,18380.8
-4.0968,-8.19918E+07,18380
-4.0964,-8.19918E+07,18381.6
-4.096,-8.19918E+07,18380
-4.0956,-8.19918E+07,18380
-4.0952,-8.19918E+07,18380.8
-4.0948,-8.19918E+07,18380.8
-4.0944,-8.19918E+07,18380
-4.094,-8.19918E+07,18379.2
-4.0936,-8.19918E+07,18380
-4.0932,-8.19918E+07,18378.4
-4.0928,-8.19918E+07,18379.2
-4.0924,-8.19918E+07,18380
-4.092,-8.19918E+07,18378.4
-4.0916,-8.19918E+07,18378.4
-4.0912,-8.19918E+07,18379.2
-4.0908,-8.19918E+07,18379.2
-4.0904,-8.19918E+07,18378.4
-4.09,-8.19918E+07,18380.8
-4.0896,-8.19918E+07,18377.6
-4.0892,-8.19918E+07,18379.2
-4.0888,-8.1992E+07,18378.4
-4.0884,-8.19918E+07,18380
-4.088,-8.1992E+07,18378.4
-4.0876,-8.19918E+07,18379.2
-4.0872,-8.1992E+07,18378.4
-4.0868,-8.1992E+07,18380.8
-4.0864,-8.1992E+07,18377.6
-4.086,-8.1992E+07,18378.4
-4.0856,-8.1992E+07,18379.2
-4.0852,-8.1992E+07,18380
-4.0848,-8.1992E+07,18377.6
-4.0844,-8.1992E+07,18378.4
-4.084,-8.1992E+07,18379.2
-4.0836,-8.1992E+07,18376.8
-4.0832,-8.1992E+07,18377.6
-4.0828,-8.1992E+07,18376.8
-4.0824,-8.1992E+07,18377.6
-4.082,-8.1992E+07,18376.8
-4.0816,-8.1992E+07,18376.8
-4.0812,-8.1992E+07,18376.8
-4.0808,-8.1992E+07,18376
-4.0804,-8.1992E+07,18377.6
-4.08,-8.1992E+07,18376
-4.0796,-8.19922E+07,18376
-4.0792,-8.19922E+07,18375.2
-4.0788,-8.1992E+07,18376
-4.0784,-8.19922E+07,18376
-4.078,-8.19922E+07,18376.8
-4.0776,-8.19922E+07,18374.4
-4.0772,-8.19922E+07,18374.4
-4.0768,-8.19922E+07,18376
-4.0764,-8.19922E+07,18376.8
-4.076,-8.19922E+07,18376
-4.0756,-8.19922E+07,18376
-4.0752,-8.19922E+07,18372.8
-4.0748,-8.19922E+07,18373.6
-4.0744,-8.19922E+07,18374.4
-4.074,-8.19922E+07,18375.2
-4.0736,-8.19922E+07,18374.4
-4.0732,-8.19922E+07,18374.4
-4.0728,-8.19922E+07,18374.4
-4.0724,-8.19922E+07,18373.6
-4.072,-8.19922E+07,18372.8
-4.0716,-8.19922E+07,18373.6
-4.0712,-8.19924E+07,18374.4
-4.0708,-8.19924E+07,18373.6
-4.0704,-8.19924E+07,18372.8
-4.07,-8.19924E+07,18372.8
-4.0696,-8.19924E+07,18372.8
-4.0692,-8.19924E+07,18373.6
-4.0688,-8.19924E+07,18370.4
-4.0684,-8.19924E+07,18369.6
-4.068,-8.19924E+07,18372.8
-4.0676,-8.19924E+07,18371.2
-4.0672,-8.19924E+07,18371.2
-4.0668,-8.19924E+07,18372
-4.0664,-8.19924E+07,18371.2
-4.066,-8.19924E+07,18371.2
-4.0656,-8.19926E+07,18370.4
-4.0652,-8.19926E+07,18371.2
-4.0648,-8.19926E+07,18370.4
-4.0644,-8.19926E+07,18371.2
-4.064,-8.19926E+07,18369.6
-4.0636,-8.19924E+07,18370.4
-4.0632,-8.19926E+07,18368
-4.0628,-8.19926E+07,18369.6
