Model,TBS 1062,
Firmware Version,CF:91.1CT FV:v26.02,
,,
Waveform Type,ANALOG,ANALOG
Point Format,Y,Y
Horizontal Units,"s","s"
Horizontal Scale,0.1,0.1
Horizontal Delay,0,0
Sample Interval,0.0004,0.0004
Record Length,2500,2500
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10X,10X
Vertical Units,"Volts","Volts"
Vertical Offset,0,0
Vertical Scale,5,0.2
Vertical Position,164,-9.2
,,
,,
,,
Label,,
TIME,CH1,CH2
-5.44,-8.19918E+07,18380.8
-5.4396,-8.19918E+07,18381.6
-5.4392,-8.19918E+07,18381.6
-5.4388,-8.19918E+07,18380.8
-5.4384,-8.1992E+07,18381.6
-5.438,-8.19918E+07,18380.8
-5.4376,-8.19918E+07,18380.8
-5.4372,-8.19918E+07,18380
-5.4368,-8.19918E+07,18380.8
-5.4364,-8.19918E+07,18380.8
-5.436,-8.19918E+07,18380
-5.4356,-8.1992E+07,18380.8
-5.4352,-8.1992E+07,18380
-5.4348,-8.19918E+07,18380
-5.4344,-8.1992E+07,18379.2
-5.434,-8.19918E+07,18380.8
-5.4336,-8.1992E+07,18380
-5.4332,-8.1992E+07,18379.2
-5.4328,-8.1992E+07,18380.8
-5.4324,-8.1992E+07,18380
-5.432,-8.1992E+07,18380.8
-5.4316,-8.1992E+07,18379.2
-5.4312,-8.1992E+07,18380
-5.4308,-8.19918E+07,18379.2
-5.4304,-8.1992E+07,18379.2
-5.43,-8.1992E+07,18380
-5.4296,-8.1992E+07,18378.4
-5.4292,-8.1992E+07,18378.4
-5.4288,-8.1992E+07,18379.2
-5.4284,-8.1992E+07,18377.6
-5.428,-8.1992E+07,18378.4
-5.4276,-8.1992E+07,18377.6
-5.4272,-8.1992E+07,18377.6
-5.4268,-8.1992E+07,18378.4
-5.4264,-8.19922E+07,18377.6
-5.426,-8.19922E+07,18378.4
-5.4256,-8.1992E+07,18378.4
-5.4252,-8.19922E+07,18377.6
-5.4248,-8.19922E+07,18377.6
-5.4244,-8.1992E+07,18377.6
-5.424,-8.19922E+07,18378.4
-5.4236,-8.19922E+07,18377.6
-5.4232,-8.19922E+07,18376
-5.4228,-8.19922E+07,18377.6
-5.4224,-8.19922E+07,18378.4
-5.422,-8.19922E+07,18376.8
-5.4216,-8.19922E+07,18375.2
-5.4212,-8.19922E+07,18378.4
-5.4208,-8.19922E+07,18376.8
-5.4204,-8.19922E+07,18376
-5.42,-8.19922E+07,18376.8
-5.4196,-8.19922E+07,18378.4
-5.4192,-8.19922E+07,18376.8
-5.4188,-8.19922E+07,18376.8
-5.4184,-8.19922E+07,18376
-5.418,-8.19924E+07,18376
-5.4176,-8.19922E+07,18376
-5.4172,-8.19924E+07,18375.2
-5.4168,-8.19924E+07,18375.2
-5.4164,-8.19924E+07,18376.8
-5.416,-8.19924E+07,18376
-5.4156,-8.19924E+07,18376.8
-5.4152,-8.19924E+07,18377.6
-5.4148,-8.19924E+07,18375.2
-5.4144,-8.19924E+07,18376.8
-5.414,-8.19924E+07,18375.2
-5.4136,-8.19924E+07,18376
-5.4132,-8.19924E+07,18376
-5.4128,-8.19924E+07,18376
-5.4124,-8.19924E+07,18377.6
-5.412,-8.19924E+07,18373.6
-5.4116,-8.19924E+07,18375.2
-5.4112,-8.19926E+07,18376
-5.4108,-8.19924E+07,18376
-5.4104,-8.19926E+07,18375.2
-5.41,-8.19924E+07,18375.2
-5.4096,-8.19924E+07,18375.2
-5.4092,-8.19924E+07,18376
-5.4088,-8.19924E+07,18373.6
-5.4084,-8.19926E+07,18375.2
-5.408,-8.19926E+07,18375.2
-5.4076,-8.19926E+07,18374.4
-5.4072,-8.19926E+07,18373.6
-5.4068,-8.19926E+07,18373.6
-5.4064,-8.19926E+07,18375.2
-5.406,-8.19926E+07,18373.6
-5.4056,-8.19926E+07,18374.4
-5.4052,-8.19926E+07,18374.4
-5.4048,-8.19926E+07,18374.4
-5.4044,-8.19926E+07,18374.4
-5.404,-8.19926E+07,18373.6
-5.4036,-8.19928E+07,18374.4
-5.4032,-8.19926E+07,18375.2
-5.4028,-8.19928E+07,18373.6
-5.4024,-8.19928E+07,18374.4
-5.402,-8.19928E+07,18373.6
-5.4016,-8.19928E+07,18375.2
-5.4012,-8.19928E+07,18374.4
-5.4008,-8.19928E+07,18374.4
-5.4004,-8.19928E+07,18372.8
-5.4,-8.19928E+07,18373.6
-5.3996,-8.19928E+07,18374.4
-5.3992,-8.1993E+07,18372
-5.3988,-8.19928E+07,18373.6
-5.3984,-8.19928E+07,18373.6
-5.398,-8.1993E+07,18372.8
-5.3976,-8.1993E+07,18373.6
-5.3972,-8.19928E+07,18372.8
-5.3968,-8.19928E+07,18372
-5.3964,-8.1993E+07,18370.4
-5.396,-8.1993E+07,18372.8
-5.3956,-8.1993E+07,18370.4
-5.3952,-8.1993E+07,18372.8
-5.3948,-8.1993E+07,18372
-5.3944,-8.1993E+07,18371.2
-5.394,-8.1993E+07,18372.8
-5.3936,-8.1993E+07,18372
-5.3932,-8.1993E+07,18371.2
-5.3928,-8.19932E+07,18371.2
-5.3924,-8.1993E+07,18371.2
-5.392,-8.1993E+07,18372
-5.3916,-8.19932E+07,18369.6
-5.3912,-8.19932E+07,18372
-5.3908,-8.19932E+07,18370.4
-5.3904,-8.19932E+07,18369.6
-5.39,-8.19932E+07,18370.4
-5.3896,-8.19932E+07,18368
-5.3892,-8.19932E+07,18368
-5.3888,-8.19932E+07,18370.4
-5.3884,-8.19932E+07,18367.2
-5.388,-8.19934E+07,18368.8
-5.3876,-8.19932E+07,18368.8
-5.3872,-8.19932E+07,18368.8
-5.3868,-8.19934E+07,18368.8
-5.3864,-8.19932E+07,18367.2
-5.386,-8.19934E+07,18365.6
-5.3856,-8.19934E+07,18367.2
-5.3852,-8.19934E+07,18368.8
-5.3848,-8.19934E+07,18367.2
-5.3844,-8.19934E+07,18366.4
-5.384,-8.19934E+07,18366.4
-5.3836,-8.19934E+07,18365.6
-5.3832,-8.19934E+07,18367.2
-5.3828,-8.19934E+07,18367.2
