Model,TBS 1062,
Firmware Version,CF:91.1CT FV:v26.02,
,,
Waveform Type,ANALOG,ANALOG
Point Format,Y,Y
Horizontal Units,"s","s"
Horizontal Scale,0.1,0.1
Horizontal Delay,0,0
Sample Interval,0.0004,0.0004
Record Length,2500,2500
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10X,10X
Vertical Units,"Volts","Volts"
Vertical Offset,0,0
Vertical Scale,5,0.2
Vertical Position,164,-9.2
,,
,,
,,
Label,,
TIME,CH1,CH2
-3.24,-8.19926E+07,18365.6
-3.2396,-8.19926E+07,18366.4
-3.2392,-8.19926E+07,18365.6
-3.2388,-8.19926E+07,18364.8
-3.2384,-8.19928E+07,18365.6
-3.238,-8.19928E+07,18365.6
-3.2376,-8.19928E+07,18365.6
-3.2372,-8.19928E+07,18365.6
-3.2368,-8.19928E+07,18365.6
-3.2364,-8.19928E+07,18365.6
-3.236,-8.19928E+07,18362.4
-3.2356,-8.19928E+07,18365.6
-3.2352,-8.19928E+07,18364.8
-3.2348,-8.19928E+07,18364
-3.2344,-8.1993E+07,18364
-3.234,-8.1993E+07,18364
-3.2336,-8.1993E+07,18364.8
-3.2332,-8.1993E+07,18364
-3.2328,-8.1993E+07,18364.8
-3.2324,-8.1993E+07,18364.8
-3.232,-8.1993E+07,18360
-3.2316,-8.1993E+07,18364
-3.2312,-8.1993E+07,18364
-3.2308,-8.1993E+07,18363.2
-3.2304,-8.1993E+07,18364
-3.23,-8.1993E+07,18364
-3.2296,-8.19932E+07,18364
-3.2292,-8.19932E+07,18363.2
-3.2288,-8.19932E+07,18362.4
-3.2284,-8.19932E+07,18361.6
-3.228,-8.19932E+07,18361.6
-3.2276,-8.19932E+07,18363.2
-3.2272,-8.19932E+07,18361.6
-3.2268,-8.19932E+07,18362.4
-3.2264,-8.19934E+07,18363.2
-3.226,-8.19932E+07,18364
-3.2256,-8.19932E+07,18363.2
-3.2252,-8.19934E+07,18363.2
-3.2248,-8.19934E+07,18364
-3.2244,-8.19934E+07,18364.8
-3.224,-8.19934E+07,18363.2
-3.2236,-8.19934E+07,18362.4
-3.2232,-8.19934E+07,18362.4
-3.2228,-8.19934E+07,18362.4
-3.2224,-8.19934E+07,18362.4
-3.222,-8.19934E+07,18363.2
-3.2216,-8.19934E+07,18361.6
-3.2212,-8.19934E+07,18362.4
-3.2208,-8.19936E+07,18361.6
-3.2204,-8.19936E+07,18361.6
-3.22,-8.19936E+07,18361.6
-3.2196,-8.19936E+07,18360
-3.2192,-8.19936E+07,18362.4
-3.2188,-8.19936E+07,18360.8
-3.2184,-8.19936E+07,18363.2
-3.218,-8.19936E+07,18362.4
-3.2176,-8.19936E+07,18361.6
-3.2172,-8.19936E+07,18364
-3.2168,-8.19938E+07,18361.6
-3.2164,-8.19938E+07,18360
-3.216,-8.19938E+07,18360
-3.2156,-8.19938E+07,18361.6
-3.2152,-8.19938E+07,18360.8
-3.2148,-8.19938E+07,18363.2
-3.2144,-8.19938E+07,18363.2
-3.214,-8.19938E+07,18362.4
-3.2136,-8.19938E+07,18362.4
-3.2132,-8.19938E+07,18362.4
-3.2128,-8.19938E+07,18361.6
-3.2124,-8.19938E+07,18363.2
-3.212,-8.1994E+07,18362.4
-3.2116,-8.1994E+07,18361.6
-3.2112,-8.1994E+07,18361.6
-3.2108,-8.1994E+07,18362.4
-3.2104,-8.1994E+07,18363.2
-3.21,-8.1994E+07,18362.4
-3.2096,-8.19942E+07,18361.6
-3.2092,-8.1994E+07,18361.6
-3.2088,-8.1994E+07,18361.6
-3.2084,-8.1994E+07,18362.4
-3.208,-8.19942E+07,18361.6
-3.2076,-8.19942E+07,18361.6
-3.2072,-8.19942E+07,18363.2
-3.2068,-8.19942E+07,18361.6
-3.2064,-8.19942E+07,18362.4
-3.206,-8.19944E+07,18363.2
-3.2056,-8.19942E+07,18362.4
-3.2052,-8.19942E+07,18363.2
-3.2048,-8.19944E+07,18362.4
-3.2044,-8.19944E+07,18364
-3.204,-8.19944E+07,18364
-3.2036,-8.19944E+07,18364
-3.2032,-8.19944E+07,18364.8
-3.2028,-8.19944E+07,18361.6
-3.2024,-8.19944E+07,18364
-3.202,-8.19944E+07,18363.2
-3.2016,-8.19944E+07,18362.4
-3.2012,-8.19946E+07,18363.2
-3.2008,-8.19946E+07,18363.2
-3.2004,-8.19946E+07,18363.2
-3.2,-8.19946E+07,18364
-3.1996,-8.19946E+07,18365.6
-3.1992,-8.19946E+07,18365.6
-3.1988,-8.19946E+07,18363.2
-3.1984,-8.19946E+07,18364.8
-3.198,-8.19948E+07,18363.2
-3.1976,-8.19948E+07,18364
-3.1972,-8.19948E+07,18365.6
-3.1968,-8.19948E+07,18364.8
-3.1964,-8.19948E+07,18364.8
-3.196,-8.19948E+07,18362.4
-3.1956,-8.19948E+07,18364
-3.1952,-8.1995E+07,18365.6
-3.1948,-8.19948E+07,18364.8
-3.1944,-8.1995E+07,18366.4
-3.194,-8.1995E+07,18367.2
-3.1936,-8.1995E+07,18365.6
-3.1932,-8.1995E+07,18364.8
-3.1928,-8.1995E+07,18365.6
-3.1924,-8.1995E+07,18365.6
-3.192,-8.19952E+07,18367.2
-3.1916,-8.19952E+07,18365.6
-3.1912,-8.1995E+07,18364
-3.1908,-8.19952E+07,18366.4
-3.1904,-8.1995E+07,18366.4
-3.19,-8.19952E+07,18364
-3.1896,-8.19952E+07,18364
-3.1892,-8.19952E+07,18365.6
-3.1888,-8.19952E+07,18365.6
-3.1884,-8.19954E+07,18364.8
-3.188,-8.19954E+07,18364
-3.1876,-8.19954E+07,18365.6
-3.1872,-8.19954E+07,18366.4
-3.1868,-8.19954E+07,18364.8
-3.1864,-8.19954E+07,18365.6
-3.186,-8.19954E+07,18366.4
-3.1856,-8.19954E+07,18367.2
-3.1852,-8.19954E+07,18364
-3.1848,-8.19954E+07,18368
-3.1844,-8.19954E+07,18365.6
-3.184,-8.19954E+07,18365.6
-3.1836,-8.19956E+07,18365.6
-3.1832,-8.19956E+07,18365.6
-3.1828,-8.19956E+07,18366.4
