Model,TBS 1062
Firmware Version,CF:91.1CT FV:v26.02
,
Waveform Type,ANALOG
Point Format,Y
Horizontal Units,"s"
Horizontal Scale,0.1
Horizontal Delay,0
Sample Interval,0.0004
Record Length,2500
Gating,0.0% to 100.0%
Probe Attenuation,10X
Vertical Units,"Volts"
Vertical Offset,0
Vertical Scale,5
Vertical Position,1.2
,
,
,
Label,
TIME,CH1
-4.846,-9.2
-4.8456,-9.400001
-4.8452,-9.400001
-4.8448,-9.400001
-4.8444,-9.400001
-4.844,-9.400001
-4.8436,-9.400001
-4.8432,-9.400001
-4.8428,-9.400001
-4.8424,-9.6
-4.842,-9.400001
-4.8416,-9.400001
-4.8412,-9.6
-4.8408,-9.6
-4.8404,-9.8
-4.84,-9.8
-4.8396,-9.8
-4.8392,-9.6
-4.8388,-9.6
-4.8384,-9.6
-4.838,-9.6
-4.8376,-9.6
-4.8372,-9.8
-4.8368,-9.6
-4.8364,-9.8
-4.836,-9.8
-4.8356,-9.8
-4.8352,-9.8
-4.8348,-9.8
-4.8344,-9.8
-4.834,-9.8
-4.8336,-10
-4.8332,-10
-4.8328,-10
-4.8324,-10
-4.832,-10
-4.8316,-10.2
-4.8312,-10
-4.8308,-10.2
-4.8304,-10
-4.83,-10.2
-4.8296,-10.2
-4.8292,-10.2
-4.8288,-10.2
-4.8284,-10.2
-4.828,-10.2
-4.8276,-10.4
-4.8272,-10.4
-4.8268,-10.4
-4.8264,-10.4
-4.826,-10.4
-4.8256,-10.4
-4.8252,-10.4
-4.8248,-10.6
-4.8244,-10.6
-4.824,-10.6
-4.8236,-10.6
-4.8232,-10.4
-4.8228,-10.6
-4.8224,-10.6
-4.822,-10.6
-4.8216,-10.8
-4.8212,-10.8
-4.8208,-10.8
-4.8204,-10.6
-4.82,-10.8
-4.8196,-10.6
-4.8192,-10.6
-4.8188,-10.6
-4.8184,-10.8
-4.818,-10.8
-4.8176,-10.8
-4.8172,-10.8
-4.8168,-11
-4.8164,-10.8
-4.816,-10.8
-4.8156,-11
-4.8152,-11
-4.8148,-11
-4.8144,-11
-4.814,-11.2
-4.8136,-11.2
-4.8132,-11.2
-4.8128,-11.2
-4.8124,-11.2
-4.812,-11
-4.8116,-11.2
-4.8112,-11
-4.8108,-11
-4.8104,-11
-4.81,-11
-4.8096,-11.2
-4.8092,-11.2
-4.8088,-11.4
-4.8084,-11.4
-4.808,-11.4
-4.8076,-11.2
-4.8072,-11.2
-4.8068,-11.4
-4.8064,-11.4
-4.806,-11.6
-4.8056,-11.4
-4.8052,-11.2
-4.8048,-11.6
-4.8044,-11.4
-4.804,-11.4
-4.8036,-11.6
-4.8032,-11.4
-4.8028,-11.6
-4.8024,-11.4
-4.802,-11.4
-4.8016,-11.6
-4.8012,-11.6
-4.8008,-11.6
-4.8004,-11.6
-4.8,-11.6
-4.7996,-11.6
-4.7992,-11.6
-4.7988,-11.8
-4.7984,-11.6
-4.798,-11.8
-4.7976,-11.6
-4.7972,-11.8
-4.7968,-11.8
-4.7964,-12
-4.796,-11.8
-4.7956,-12
-4.7952,-11.8
-4.7948,-11.8
-4.7944,-11.8
-4.794,-12
-4.7936,-12
-4.7932,-12
-4.7928,-11.8
-4.7924,-11.8
-4.792,-11.8
-4.7916,-12
-4.7912,-11.8
-4.7908,-12
-4.7904,-11.8
-4.79,-12.2
-4.7896,-12
-4.7892,-12
-4.7888,-12.2
-4.7884,-12
-4.788,-12
-4.7876,-12.2
-4.7872,-12.2
-4.7868,-12.2
-4.7864,-12.2
-4.786,-12.2
-4.7856,-12.2
-4.7852,-12.2
-4.7848,-12.2
-4.7844,-12.2
-4.784,-12.2
-4.7836,-12.2
-4.7832,-12.2
-4.7828,-12.2
-4.7824,-12.2
-4.782,-12.2
-4.7816,-12.2
-4.7812,-12.2
-4.7808,-12.4
-4.7804,-12.2
-4.78,-12.2
-4.7796,-12.4
-4.7792,-12.2
-4.7788,-12.2
-4.7784,-12.4
-4.778,-12.2
-4.7776,-12.4
-4.7772,-12.4
-4.7768,-12.2
-4.7764,-12.4
-4.776,-12.2
-4.7756,-12.4
-4.7752,-12.6
-4.7748,-12.4
-4.7744,-12.4
-4.774,-12.4
-4.7736,-12.4
-4.7732,-12.4
-4.7728,-12.6
-4.7724,-12.4
-4.772,-12.4
-4.7716,-12.6
-4.7712,-12.4
-4.7708,-12.4
-4.7704,-12.4
-4.77,-12.4
-4.7696,-12.6
-4.7692,-12.6
-4.7688,-12.6
-4.7684,-12.6
-4.768,-12.6
-4.7676,-12.4
-4.7672,-12.6
-4.7668,-12.4
-4.7664,-12.6
-4.766,-12.6
-4.7656,-12.4
-4.7652,-12.6
-4.7648,-12.4
-4.7644,-12.6
-4.764,-12.6
-4.7636,-12.6
-4.7632,-12.6
-4.7628,-12.4
-4.7624,-12.6
-4.762,-12.6
-4.7616,-12.6
-4.7612,-12.6
-4.7608,-12.6
-4.7604,-12.4
-4.76,-12.4
-4.7596,-12.4
-4.7592,-12.6
-4.7588,-12.6
-4.7584,-12.4
-4.758,-12.4
-4.7576,-12.4
-4.7572,-12.6
-4.7568,-12.4
-4.7564,-12.6
-4.756,-12.4
-4.7556,-12.4
-4.7552,-12.4
-4.7548,-12.6
-4.7544,-12.4
-4.754,-12.4
-4.7536,-12.4
-4.7532,-12.4
-4.7528,-12.4
-4.7524,-12.6
-4.752,-12.4
-4.7516,-12.2
-4.7512,-12.4
-4.7508,-12.4
-4.7504,-12.6
-4.75,-12.4
-4.7496,-12.6
-4.7492,-12.4
-4.7488,-12.2
-4.7484,-12.4
-4.748,-12.4
-4.7476,-12.2
-4.7472,-12.4
-4.7468,-12.4
-4.7464,-12.4
-4.746,-12.4
-4.7456,-12.4
-4.7452,-12.2
-4.7448,-12.2
-4.7444,-12.2
-4.744,-12.2
-4.7436,-12.4
-4.7432,-12.2
-4.7428,-12.2
-4.7424,-12.2
-4.742,-12.4
-4.7416,-12.2
-4.7412,-12.2
-4.7408,-12.2
-4.7404,-12.2
-4.74,-12.2
-4.7396,-12
-4.7392,-12
-4.7388,-11.8
-4.7384,-12
-4.738,-12
-4.7376,-12
-4.7372,-11.8
-4.7368,-12
-4.7364,-12
-4.736,-12
-4.7356,-11.8
-4.7352,-12
-4.7348,-11.8
-4.7344,-11.8
-4.734,-11.8
-4.7336,-11.8
-4.7332,-11.8
-4.7328,-11.6
-4.7324,-11.6
-4.732,-11.8
-4.7316,-11.6
-4.7312,-11.6
-4.7308,-11.6
-4.7304,-11.6
-4.73,-11.2
-4.7296,-11.4
-4.7292,-11.4
-4.7288,-11.2
-4.7284,-11.2
-4.728,-11.2
-4.7276,-11.2
-4.7272,-11.2
-4.7268,-11.2
-4.7264,-11.2
-4.726,-11
-4.7256,-11
-4.7252,-10.8
-4.7248,-10.8
-4.7244,-10.6
-4.724,-10.6
-4.7236,-10.6
-4.7232,-10.4
-4.7228,-10.4
-4.7224,-10.2
-4.722,-10.2
-4.7216,-10
-4.7212,-10
-4.7208,-9.8
-4.7204,-9.8
-4.72,-9.8
-4.7196,-9.6
-4.7192,-9.400001
-4.7188,-9.2
-4.7184,-9.2
-4.718,-9.400001
-4.7176,-9.2
-4.7172,-9.2
-4.7168,-9.400001
-4.7164,-9.400001
-4.716,-9.6
-4.7156,-10
-4.7152,-10
-4.7148,-10.2
-4.7144,-10.2
-4.714,-10.4
-4.7136,-10.4
-4.7132,-10.4
-4.7128,-10.4
-4.7124,-10.4
-4.712,-10.4
-4.7116,-10.4
-4.7112,-10.6
-4.7108,-10.4
-4.7104,-10.4
-4.71,-10.4
-4.7096,-10.4
-4.7092,-10.4
-4.7088,-10.2
-4.7084,-10.2
-4.708,-10
-4.7076,-10.2
-4.7072,-10.2
-4.7068,-10
-4.7064,-9.8
-4.706,-9.8
-4.7056,-9.6
-4.7052,-9.6
-4.7048,-9.8
-4.7044,-9.400001
-4.704,-9.400001
-4.7036,-9.400001
-4.7032,-9.2
-4.7028,-9.2
-4.7024,-9
-4.702,-8.8
-4.7016,-8.8
-4.7012,-8.400001
-4.7008,-8.400001
-4.7004,-8.400001
-4.7,-8.2
-4.6996,-8.2
-4.6992,-8
-4.6988,-7.8
-4.6984,-7.8
-4.698,-7.6
-4.6976,-7.2
-4.6972,-7.2
-4.6968,-6.8
-4.6964,-6.8
-4.696,-6.8
-4.6956,-6.4
-4.6952,-6
-4.6948,-5.8
-4.6944,-5.4
-4.694,-5.2
-4.6936,-5
-4.6932,-4.8
-4.6928,-4.6
-4.6924,-4.2
-4.692,-4.4
-4.6916,-4.4
-4.6912,-4.4
-4.6908,-4.4
-4.6904,-4.4
-4.69,-4.6
-4.6896,-4.4
-4.6892,-4.6
-4.6888,-4.8
-4.6884,-5
-4.688,-5
-4.6876,-5.2
-4.6872,-5.4
-4.6868,-5.4
-4.6864,-5.4
-4.686,-5.6
-4.6856,-5.6
-4.6852,-5.6
-4.6848,-5.6
-4.6844,-5.6
-4.684,-5.6
-4.6836,-5.6
-4.6832,-5.6
-4.6828,-5.6
-4.6824,-5.6
-4.682,-5.4
-4.6816,-5.4
-4.6812,-4.8
-4.6808,-5
-4.6804,-5
-4.68,-5
-4.6796,-5
-4.6792,-5
-4.6788,-4.8
-4.6784,-4.6
-4.678,-4.4
-4.6776,-4.4
-4.6772,-4.2
-4.6768,-4.8
-4.6764,-4.8
-4.676,-4.6
-4.6756,-4.6
-4.6752,-4.6
-4.6748,-5.2
-4.6744,-5.4
-4.674,-5.6
-4.6736,-5.8
-4.6732,-6
-4.6728,-6
-4.6724,-6.2
-4.672,-6.2
-4.6716,-6.2
-4.6712,-6.6
-4.6708,-6.4
-4.6704,-6.8
-4.67,-6.8
-4.6696,-6.8
-4.6692,-6.8
-4.6688,-7
-4.6684,-7
-4.668,-7
-4.6676,-7.2
-4.6672,-7.2
-4.6668,-7
-4.6664,-7.2
-4.666,-7.2
-4.6656,-7.2
-4.6652,-7.4
-4.6648,-7.4
-4.6644,-7.2
-4.664,-7.4
-4.6636,-7.4
-4.6632,-7.6
-4.6628,-7.4
-4.6624,-7.6
-4.662,-7.8
-4.6616,-7.8
-4.6612,-7.6
-4.6608,-7.8
-4.6604,-7.8
-4.66,-8
-4.6596,-8
-4.6592,-8.2
-4.6588,-8.2
-4.6584,-8.2
-4.658,-8.2
-4.6576,-8.2
-4.6572,-8.2
-4.6568,-8.2
-4.6564,-8.2
-4.656,-8.2
-4.6556,-8.2
-4.6552,-8.2
-4.6548,-8.2
-4.6544,-8.2
-4.654,-8
-4.6536,-8.2
-4.6532,-8.2
-4.6528,-8.2
-4.6524,-8.2
-4.652,-8.2
-4.6516,-8
-4.6512,-8.2
-4.6508,-8
-4.6504,-7.8
-4.65,-8
-4.6496,-7.8
-4.6492,-7.8
-4.6488,-8
-4.6484,-8
-4.648,-8
-4.6476,-8
-4.6472,-8
-4.6468,-8.2
-4.6464,-8.2
-4.646,-8.2
-4.6456,-8.2
-4.6452,-8.2
-4.6448,-8.2
-4.6444,-8.2
-4.644,-8.400001
-4.6436,-8.400001
